Data, H, |I|, Out_Acc, In_Acc, Sol_Time, MIP_Gap, Obj_Val, Obj_Bound, Model, Lambda, Calibration_Time, Rand_State, Time_Limit, Tuning_Used, Num_CB, Num_Cuts, Total_CB_Time, MIP_Node_Time, MIP_Sol_Time, Max_Features, Single_Feature_Use, Regularization
climate,4,405,0.903703704,0.922839506,3600.04376,0.08,375,405,BendersOCT,0,18015.95439,42,3600,TRUE,101,96,317.2497644,,,,,
balance_scale,3,468,0.681528662,0.752,849.181098,9.75E-05,136.8,136.8133333,BendersOCT,0.6,11068.8516,42,3600,TRUE,76,75,3.614361763,,,,,
blood,2,560,0.732620321,0.774553571,3119.35046,0,438,438,BendersOCT,0,16641.92292,0,3600,TRUE,30,29,9.213280201,,,,,
balance_scale,3,468,0.719745223,0.738666667,1717.571557,9.61E-05,347,347.0333333,BendersOCT,0,12950.47518,0,3600,TRUE,62,61,4.991523266,,,,,
hayes_roth,3,120,0.725,0.760416667,25.75596905,0,93,93,BendersOCT,0,330.8970405,138,3600,TRUE,33,32,0.726164103,,,,,
hayes_roth,3,120,0.675,0.75,20.55321002,0,93,93,BendersOCT,0,366.012985,15,3600,TRUE,31,30,0.790535212,,,,,
hayes_roth,3,120,0.75,0.78125,21.39573789,0,92,92,BendersOCT,0,431.3869575,89,3600,TRUE,37,36,0.50088954,,,,,
hayes_roth,3,120,0.65,0.822916667,14.55893898,0,97,97,BendersOCT,0,243.6934373,42,3600,TRUE,35,34,0.915275097,,,,,
hayes_roth,3,120,0.625,0.8125,14.95101309,0,98,98,BendersOCT,0,228.0410373,0,3600,TRUE,32,31,0.855429888,,,,,
iris,3,112,0.973684211,1,0.022217035,0,112,112,BendersOCT,0,105.5377758,138,3600,TRUE,2,0,0.021134377,,,,,
iris,3,112,0.973684211,1,0.025014877,0,112,112,BendersOCT,0,305.9991611,15,3600,TRUE,2,0,0.023902178,,,,,
iris,3,112,0.973684211,1,0.028378963,0,112,112,BendersOCT,0,217.1075025,89,3600,TRUE,2,0,0.027261734,,,,,
