Data,H,|I|,Out-Acc,In-Acc,Overfit,ObjVal,Num-Branch,Sol-Num,Priority-type,Sol-Time,Model,# CB,User Cuts,Cuts/CB,CB-Time,INT-CB-time,FRAC-CB-TIME,CB-Eps,Time Limit,Rand. State
chess,5,2397,0.71339174,0.734251147,-0.020859408,637,11,1,data,3600.323441,SCF,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.71339174,0.734251147,-0.020859408,637,15,2,data,3600.323441,SCF,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.508135169,0.526908636,-0.018773467,637,3,3,data,3600.323441,SCF,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.508135169,0.526908636,-0.018773467,637,1,4,data,3600.323441,SCF,0,0,0,0,0,0,0,3600,15
chess,5,2397,0.508135169,0.526908636,-0.018773467,637,0,5,data,3600.323441,SCF,0,0,0,0,0,0,0,3600,15
climate,5,405,0.940740741,0.958024691,-0.017283951,17,16,1,data,3600.679885,CUT,0,0,0,0,0,0,0,3600,15
climate,5,405,0.918518519,0.950617284,-0.032098765,17,16,2,data,3600.679885,CUT,0,0,0,0,0,0,0,3600,15
climate,5,405,0.933333333,0.948148148,-0.014814815,17,14,3,data,3600.679885,CUT,0,0,0,0,0,0,0,3600,15
climate,5,405,0.918518519,0.918518519,0,17,6,4,data,3600.679885,CUT,0,0,0,0,0,0,0,3600,15
climate,5,405,0.918518519,0.916049383,0.002469136,17,1,5,data,3600.679885,CUT,0,0,0,0,0,0,0,3600,15
climate,5,405,0.933333333,0.908641975,0.024691358,17,1,6,data,3600.679885,CUT,0,0,0,0,0,0,0,3600,15
climate,5,405,0.585185185,0.481481481,0.103703704,17,23,7,data,3600.679885,CUT,0,0,0,0,0,0,0,3600,15
climate,5,405,0.585185185,0.481481481,0.103703704,17,23,8,data,3600.679885,CUT,0,0,0,0,0,0,0,3600,15
climate,5,405,0.918518519,0.916049383,0.002469136,34,1,1,data,3600.409098,CUT_w,0,0,0,0,0,0,0,3600,15
climate,5,405,0.933333333,0.908641975,0.024691358,34,1,2,data,3600.409098,CUT_w,0,0,0,0,0,0,0,3600,15
climate,5,405,0.585185185,0.481481481,0.103703704,34,23,3,data,3600.409098,CUT_w,0,0,0,0,0,0,0,3600,15
climate,5,405,0.585185185,0.481481481,0.103703704,34,23,4,data,3600.409098,CUT_w,0,0,0,0,0,0,0,3600,15
climate,5,405,0.918518519,0.916049383,0.002469136,34,1,1,equal,3600.407409,SCF,0,0,0,0,0,0,0,3600,15
climate,5,405,0.925925926,0.908641975,0.017283951,34,1,2,equal,3600.407409,SCF,0,0,0,0,0,0,0,3600,15
climate,5,405,0.296296296,0.355555556,-0.059259259,34,1,3,equal,3600.407409,SCF,0,0,0,0,0,0,0,3600,15
climate,5,405,0.940740741,0.960493827,-0.019753086,16,8,1,equal,3601.004542,MCF,0,0,0,0,0,0,0,3600,15
climate,5,405,0.940740741,0.943209877,-0.002469136,16,5,2,equal,3601.004542,MCF,0,0,0,0,0,0,0,3600,15
climate,5,405,0.948148148,0.938271605,0.009876543,16,5,3,equal,3601.004542,MCF,0,0,0,0,0,0,0,3600,15
climate,5,405,0.933333333,0.935802469,-0.002469136,16,5,4,equal,3601.004542,MCF,0,0,0,0,0,0,0,3600,15
climate,5,405,0.918518519,0.916049383,0.002469136,16,1,5,equal,3601.004542,MCF,0,0,0,0,0,0,0,3600,15
