Data,H,|I|,Out-Acc,In-Acc,Sol-Time,Gap,ObjVal,# CB,User Cuts,Cuts/CB,CB-Time,INT-CB-time,FRAC-CB-TIME,CB-Eps,Model,Time Limit,Rand. State,ObjBound,Warm Start,Single Feature Use,Max Features
car,4,1296,0.80787037,0.8125,3600.006766,0.223796034,1296,0,0,0,0,0,0,0,FlowOCT,3600,42,1059,FALSE,FALSE,FALSE
house_votes_84,5,326,0.935779817,0.99078341,3600.027947,0.006172838,326,0,0,0,0,0,0,0,FlowOCT,3600,0,324.0000004,FALSE,FALSE,FALSE
breast_cancer,5,214,0.680555556,0.888111888,3600.003645,0.144385027,214,0,0,0,0,0,0,0,FlowOCT,3600,89,187,FALSE,FALSE,FALSE
climate,3,405,0.933333333,0.943209877,3600.015102,0.060209424,382,0,0,0,0,0,0,0,MCF2,3600,15,405,FALSE,None,None
ionosphere,2,263,0.840909091,0.891428571,3600.006726,0.138528138,263,0,0,0,0,0,0,0,FlowOCT,3600,138,231.0000001,FALSE,FALSE,FALSE
ionosphere,4,263,0.875,0.931558935,3603.478519,0.073469388,245,0,0,0,0,0,0,0,MCF2,3600,138,263,FALSE,None,None
spect,3,200,0.641791045,0.78,3600.001251,0.282051282,156,0,0,0,0,0,0,0,MCF1,3600,89,200,FALSE,None,None
climate,2,405,0.874074074,0.950617284,3600.016942,0.041558442,385,0,0,0,0,0,0,0,MCF1,3600,42,401,FALSE,None,None
car,4,1296,0.798611111,0.847222222,3600.00769,0.201112141,1296,0,0,0,0,0,0,0,FlowOCT,3600,0,1079,FALSE,FALSE,FALSE
hayes_roth,5,120,0.75,0.925,3600.005434,0.100917431,120,0,0,0,0,0,0,0,FlowOCT,3600,138,109,FALSE,FALSE,FALSE
breast_cancer,5,214,0.652777778,0.895104895,3600.002017,0.103092784,214,0,0,0,0,0,0,0,FlowOCT,3600,42,194,FALSE,FALSE,FALSE
climate,3,405,0.903703704,0.948148148,3600.021086,0.0546875,384,0,0,0,0,0,0,0,MCF2,3600,89,405,FALSE,None,None
ionosphere,2,263,0.806818182,0.891428571,3600.007745,0.105042013,263,0,0,0,0,0,0,0,FlowOCT,3600,15,238.0000008,FALSE,FALSE,FALSE
ionosphere,4,263,0.829545455,0.965779468,3600.027788,0.039525692,253,0,0,0,0,0,0,0,MCF1,3600,15,263,FALSE,None,None
spect,3,200,0.671641791,0.78,3600.00069,0.275641026,156,0,0,0,0,0,0,0,MCF1,3600,42,199,FALSE,None,None
tic_tac_toe,4,718,0.775,0.826722338,3600.00407,0.206722689,718,0,0,0,0,0,0,0,FlowOCT,3600,138,595,FALSE,FALSE,FALSE
climate,2,405,0.918518519,0.938271605,3600.046084,0.065963061,379,0,0,0,0,0,0,0,MCF1,3600,0,404,FALSE,None,None
hayes_roth,5,120,0.8,0.8875,3600.001228,0.100917431,120,0,0,0,0,0,0,0,FlowOCT,3600,15,109,FALSE,FALSE,FALSE
breast_cancer,5,214,0.666666667,0.909090909,3600.003629,0.091836704,214,0,0,0,0,0,0,0,FlowOCT,3600,0,196.0000056,FALSE,FALSE,FALSE
climate,3,405,0.881481481,0.955555556,3600.016952,0.046511628,387,0,0,0,0,0,0,0,MCF2,3600,42,405,FALSE,None,None
ionosphere,2,263,0.886363636,0.897142857,3600.00773,0.119148933,263,0,0,0,0,0,0,0,FlowOCT,3600,89,235.0000007,FALSE,FALSE,FALSE
spect,3,200,0.626865672,0.8,3600.002616,0.25,160,0,0,0,0,0,0,0,MCF1,3600,0,200,FALSE,None,None
ionosphere,4,263,0.852272727,0.920152091,3600.048554,0.08677686,242,0,0,0,0,0,0,0,MCF2,3600,15,263,FALSE,None,None
tic_tac_toe,4,718,0.783333333,0.860125261,3600.003928,0.178981938,718,0,0,0,0,0,0,0,FlowOCT,3600,15,609,FALSE,FALSE,FALSE
ionosphere,2,263,0.829545455,0.88973384,3600.00694,0.106837607,234,0,0,0,0,0,0,0,MCF1,3600,138,259,FALSE,None,None
hayes_roth,5,120,0.725,0.9,3600.001023,0.090909087,120,0,0,0,0,0,0,0,FlowOCT,3600,89,110.0000004,FALSE,FALSE,FALSE
car,5,1296,0.800925926,0.847222222,3600.03165,0.173913043,1296,0,0,0,0,0,0,0,FlowOCT,3600,138,1104,FALSE,FALSE,FALSE
climate,3,405,0.881481481,0.943209877,3600.062894,0.060209424,382,0,0,0,0,0,0,0,MCF2,3600,0,405,FALSE,None,None
ionosphere,2,263,0.886363636,0.897142857,3600.041239,0.119148934,263,0,0,0,0,0,0,0,FlowOCT,3600,42,235.0000006,FALSE,FALSE,FALSE
tic_tac_toe,3,718,0.741666667,0.759052925,3600.002214,0.317431193,545,0,0,0,0,0,0,0,MCF1,3600,138,718,FALSE,None,None
ionosphere,4,263,0.863636364,0.961977186,3600.078633,0.039525692,253,0,0,0,0,0,0,0,MCF1,3600,89,263,FALSE,None,None
tic_tac_toe,4,718,0.820833333,0.824634656,3600.005716,0.204697987,718,0,0,0,0,0,0,0,FlowOCT,3600,89,596,FALSE,FALSE,FALSE
ionosphere,2,263,0.795454545,0.904942966,3600.017629,0.079831933,238,0,0,0,0,0,0,0,MCF1,3600,15,257,FALSE,None,None
hayes_roth,5,120,0.7,0.9125,3600.000937,0.09090884,120,0,0,0,0,0,0,0,FlowOCT,3600,42,110.0000253,FALSE,FALSE,FALSE
car,5,1296,0.805555556,0.811342593,3600.071018,0.223796034,1296,0,0,0,0,0,0,0,FlowOCT,3600,15,1059,FALSE,FALSE,FALSE
ionosphere,3,263,0.920454545,0.923954373,3600.016788,0.082304527,243,0,0,0,0,0,0,0,MCF2,3600,138,263,FALSE,None,None
ionosphere,2,263,0.818181818,0.931428571,3600.004918,0.100418405,263,0,0,0,0,0,0,0,FlowOCT,3600,0,239.0000012,FALSE,FALSE,FALSE
breast_cancer,2,214,0.680555556,0.769230769,31.66414094,0,168,0,0,0,0,0,0,0,FlowOCT,3600,138,168,FALSE,FALSE,FALSE
breast_cancer,2,214,0.708333333,0.797202797,25.87431121,0,168,0,0,0,0,0,0,0,FlowOCT,3600,15,168,FALSE,FALSE,FALSE
breast_cancer,2,214,0.708333333,0.783216783,42.31560802,0,166,0,0,0,0,0,0,0,FlowOCT,3600,89,166,FALSE,FALSE,FALSE
breast_cancer,2,214,0.638888889,0.79020979,27.31311417,0,170,0,0,0,0,0,0,0,FlowOCT,3600,42,170,FALSE,FALSE,FALSE
tic_tac_toe,3,718,0.645833333,0.770194986,3600.007976,0.298372514,553,0,0,0,0,0,0,0,MCF1,3600,15,718,FALSE,None,None
breast_cancer,2,214,0.625,0.804195804,30.22277904,0,174,0,0,0,0,0,0,0,FlowOCT,3600,0,174,FALSE,FALSE,FALSE
balance_scale,2,468,0.649681529,0.708333333,16.62528181,0,324,0,0,0,0,0,0,0,FlowOCT,3600,138,324,FALSE,FALSE,FALSE
balance_scale,2,468,0.662420382,0.682692308,17.5857749,0,322,0,0,0,0,0,0,0,FlowOCT,3600,15,322,FALSE,FALSE,FALSE
balance_scale,2,468,0.630573248,0.673076923,16.39550495,0,327,0,0,0,0,0,0,0,FlowOCT,3600,89,327,FALSE,FALSE,FALSE
balance_scale,2,468,0.636942675,0.669871795,14.53226709,0,326,0,0,0,0,0,0,0,FlowOCT,3600,42,326,FALSE,FALSE,FALSE
balance_scale,2,468,0.630573248,0.724358974,16.63346791,0,327,0,0,0,0,0,0,0,FlowOCT,3600,0,327,FALSE,FALSE,FALSE
ionosphere,4,263,0.806818182,0.939163498,3600.123437,0.064777328,247,0,0,0,0,0,0,0,MCF2,3600,89,263,FALSE,None,None
car,2,1296,0.736111111,0.78587963,232.721961,0,1026,0,0,0,0,0,0,0,FlowOCT,3600,138,1026,FALSE,FALSE,FALSE
car,2,1296,0.784722222,0.78125,101.6635649,0,1005,0,0,0,0,0,0,0,FlowOCT,3600,15,1005,FALSE,FALSE,FALSE
car,2,1296,0.798611111,0.773148148,119.8494949,0,999,0,0,0,0,0,0,0,FlowOCT,3600,89,999,FALSE,FALSE,FALSE
car,2,1296,0.789351852,0.748842593,156.0845191,0,1003,0,0,0,0,0,0,0,FlowOCT,3600,42,1003,FALSE,FALSE,FALSE
tic_tac_toe,4,718,0.795833333,0.85177453,3600.018769,0.190713101,718,0,0,0,0,0,0,0,FlowOCT,3600,42,603,FALSE,FALSE,FALSE
car,2,1296,0.780092593,0.782407407,248.870275,0,1007,0,0,0,0,0,0,0,FlowOCT,3600,0,1007,FALSE,FALSE,FALSE
ionosphere,2,263,0.875,0.893536122,3600.006932,0.09787234,235,0,0,0,0,0,0,0,MCF1,3600,89,258,FALSE,None,None
tic_tac_toe,2,718,0.704166667,0.69519833,407.458724,0,507,0,0,0,0,0,0,0,FlowOCT,3600,138,507,FALSE,FALSE,FALSE
hayes_roth,5,120,0.725,0.925,3600.001225,0.090909088,120,0,0,0,0,0,0,0,FlowOCT,3600,0,110.0000003,FALSE,FALSE,FALSE
tic_tac_toe,2,718,0.645833333,0.728601253,447.808022,0,521,0,0,0,0,0,0,0,FlowOCT,3600,15,521,FALSE,FALSE,FALSE
tic_tac_toe,2,718,0.679166667,0.705636743,784.390507,0,510,0,0,0,0,0,0,0,FlowOCT,3600,89,510,FALSE,FALSE,FALSE
car,5,1296,0.80787037,0.824074074,3600.017802,0.227272727,1296,0,0,0,0,0,0,0,FlowOCT,3600,89,1056,FALSE,FALSE,FALSE
ionosphere,3,263,0.829545455,0.939163498,3600.016404,0.064777328,247,0,0,0,0,0,0,0,MCF2,3600,15,263,FALSE,None,None
tic_tac_toe,2,718,0.704166667,0.697286013,769.8002112,0,502,0,0,0,0,0,0,0,FlowOCT,3600,42,502,FALSE,FALSE,FALSE
tic_tac_toe,3,718,0.7375,0.766016713,3600.013614,0.305454545,550,0,0,0,0,0,0,0,MCF1,3600,89,718,FALSE,None,None
ionosphere,4,263,0.829545455,0.961977186,3600.025271,0.039525692,253,0,0,0,0,0,0,0,MCF1,3600,42,263,FALSE,None,None
tic_tac_toe,2,718,0.679166667,0.688935282,683.0310628,0,508,0,0,0,0,0,0,0,FlowOCT,3600,0,508,FALSE,FALSE,FALSE
tic_tac_toe,4,718,0.8125,0.860125261,3600.00428,0.178981938,718,0,0,0,0,0,0,0,FlowOCT,3600,0,609,FALSE,FALSE,FALSE
ionosphere,2,263,0.852272727,0.88973384,3600.008475,0.098290598,234,0,0,0,0,0,0,0,MCF1,3600,42,257,FALSE,None,None
blood,5,560,0.732620321,0.828418231,3600.022919,0.183932347,560,0,0,0,0,0,0,0,FlowOCT,3600,138,473,FALSE,FALSE,FALSE
car,5,1296,0.826388889,0.819444444,3600.017836,0.211214953,1296,0,0,0,0,0,0,0,FlowOCT,3600,42,1070,FALSE,FALSE,FALSE
ionosphere,3,263,0.897727273,0.935361217,3600.018901,0.069105691,246,0,0,0,0,0,0,0,MCF2,3600,89,263,FALSE,None,None
tic_tac_toe,3,718,0.766666667,0.749303621,3600.002744,0.334572491,538,0,0,0,0,0,0,0,MCF1,3600,42,718,FALSE,None,None
ionosphere,4,263,0.897727273,0.954372624,3600.058237,0.047808765,251,0,0,0,0,0,0,0,MCF2,3600,42,263,FALSE,None,None
fico_binary,4,7844,0.699043977,0.700516351,3600.081087,0.422323049,7837,0,0,0,0,0,0,0,FlowOCT,3600,138,5510,FALSE,FALSE,FALSE
ionosphere,2,263,0.806818182,0.908745247,3600.020136,0.071129707,239,0,0,0,0,0,0,0,MCF1,3600,0,256,FALSE,None,None
blood,5,560,0.754010695,0.844504021,3600.055516,0.174004193,560,0,0,0,0,0,0,0,FlowOCT,3600,15,477,FALSE,FALSE,FALSE
car,5,1296,0.800925926,0.846064815,3600.019299,0.190082645,1296,0,0,0,0,0,0,0,FlowOCT,3600,0,1089,FALSE,FALSE,FALSE
ionosphere,3,263,0.852272727,0.931558935,3600.033647,0.073469388,245,0,0,0,0,0,0,0,MCF2,3600,42,263,FALSE,None,None
tic_tac_toe,3,718,0.758333333,0.759052925,3600.002661,0.317431193,545,0,0,0,0,0,0,0,MCF1,3600,0,718,FALSE,None,None
ionosphere,4,263,0.875,0.961977186,3600.290791,0.039525692,253,0,0,0,0,0,0,0,MCF1,3600,0,263,FALSE,None,None
fico_binary,4,7844,0.687189293,0.697838975,3600.214304,0.433004145,7835.666667,0,0,0,0,0,0,0,FlowOCT,3600,15,5468,FALSE,FALSE,FALSE
fico_binary,2,7844,0.680305927,0.681795003,3600.022887,0.42539267,5348,0,0,0,0,0,0,0,MCF2,3600,138,7623,FALSE,None,None
blood,5,560,0.807486631,0.825737265,3600.0206,0.212121192,560,0,0,0,0,0,0,0,FlowOCT,3600,89,462.0000077,FALSE,FALSE,FALSE
monk2,5,126,0.744186047,0.892857143,3600.001371,0.086206887,126,0,0,0,0,0,0,0,FlowOCT,3600,138,116.000001,FALSE,FALSE,FALSE
ionosphere,3,263,0.897727273,0.935361217,3600.048004,0.069105691,246,0,0,0,0,0,0,0,MCF2,3600,0,263,FALSE,None,None
fico_binary,3,7844,0.343021033,0.342172361,3600.03847,13.96558317,523,0,0,0,0,0,0,0,MCF1,3600,138,7827,FALSE,None,None
ionosphere,4,263,0.852272727,0.958174905,3600.435352,0.043650794,252,0,0,0,0,0,0,0,MCF2,3600,0,263,FALSE,None,None
fico_binary,4,7844,0.652772467,0.65404475,3600.077898,0.517241379,7832,0,0,0,0,0,0,0,FlowOCT,3600,89,5162,FALSE,FALSE,FALSE
fico_binary,2,7844,0.677629063,0.682687404,3600.035068,0.429878618,5355,0,0,0,0,0,0,0,MCF2,3600,15,7657,FALSE,None,None
blood,5,560,0.754010695,0.852546917,3600.013768,0.199143469,560,0,0,0,0,0,0,0,FlowOCT,3600,42,467,FALSE,FALSE,FALSE
monk2,5,126,0.651162791,0.928571429,3600.001469,0.086206887,126,0,0,0,0,0,0,0,FlowOCT,3600,15,116.000001,FALSE,FALSE,FALSE
breast_cancer,3,214,0.722222222,0.813084112,3600.003966,0.218390805,174,0,0,0,0,0,0,0,MCF2,3600,138,212,FALSE,None,None
fico_binary,3,7844,0.338814532,0.343574707,3600.087322,5.786643539,1153,0,0,0,0,0,0,0,MCF1,3600,15,7825,FALSE,None,None
climate,5,405,0.888888889,0.980246914,3600.159728,0.020151134,397,0,0,0,0,0,0,0,MCF1,3600,138,405,FALSE,None,None
fico_binary,4,7844,0.682600382,0.692866705,3600.106242,0.426884071,7832.166667,0,0,0,0,0,0,0,FlowOCT,3600,42,5489,FALSE,FALSE,FALSE
fico_binary,2,7844,0.676864245,0.682942376,3600.070208,0.437558335,5357,0,0,0,0,0,0,0,MCF2,3600,89,7701,FALSE,None,None
blood,5,560,0.743315508,0.820375335,3600.028811,0.204301075,560,0,0,0,0,0,0,0,FlowOCT,3600,0,465,FALSE,FALSE,FALSE
monk2,5,126,0.651162791,0.904761905,3600.002303,0.086206831,126,0,0,0,0,0,0,0,FlowOCT,3600,89,116.000007,FALSE,FALSE,FALSE
breast_cancer,3,214,0.75,0.817757009,3600.004041,0.154285714,175,0,0,0,0,0,0,0,MCF2,3600,15,202,FALSE,None,None
fico_binary,3,7844,0.658891013,0.657190209,3600.026145,2.719923918,2103,0,0,0,0,0,0,0,MCF1,3600,89,7823,FALSE,None,None
climate,5,405,0.881481481,0.928395062,3600.360127,0.07712766,376,0,0,0,0,0,0,0,MCF2,3600,138,405,FALSE,None,None
fico_binary,2,7844,0.68374761,0.700025497,3600.026467,0.394645784,5491,0,0,0,0,0,0,0,MCF2,3600,42,7658,FALSE,None,None
fico_binary,4,7844,0.696749522,0.697265251,3600.080959,0.440165441,7834.5,0,0,0,0,0,0,0,FlowOCT,3600,0,5440,FALSE,FALSE,FALSE
tic_tac_toe,5,718,0.766666667,0.78914405,3600.010023,0.242214533,718,0,0,0,0,0,0,0,FlowOCT,3600,138,578,FALSE,FALSE,FALSE
monk2,5,126,0.488372093,0.928571429,3600.006612,0.115044248,126,0,0,0,0,0,0,0,FlowOCT,3600,42,113,FALSE,FALSE,FALSE
breast_cancer,3,214,0.736111111,0.817757009,3600.006588,0.205714286,175,0,0,0,0,0,0,0,MCF2,3600,89,211,FALSE,None,None
fico_binary,3,7844,0.646271511,0.661397246,3600.037107,2.545536928,2207,0,0,0,0,0,0,0,MCF1,3600,42,7825,FALSE,None,None
